PaperId,Category
1281,cs.CL
1282,cs.CL
1283,cs.CL
1285,cs.CL
1286,cs.CL
1287,cs.CL
1288,cs.CL
1289,cs.CL
1290,cs.CL
1291,cs.CL
1292,cs.CL
1293,cs.CL
1294,cs.CL
1296,cs.CL
1297,cs.CL
1298,cs.CL
1299,cs.CL
1300,cs.CL
1301,cs.CL
1302,cs.CL
1303,cs.CL
1304,cs.CL
1305,cs.CL
1306,cs.CL
1307,cs.CL
1308,cs.CL
1309,cs.CL
1310,cs.CL
1311,cs.CL
1312,cs.CL
1313,cs.CL
1314,cs.CL
1315,cs.CL
1316,cs.CL
1317,cs.CL
1320,cs.CL
1321,cs.CL
1322,cs.CL
1323,cs.CL
1324,cs.CL
1325,cs.CL
1326,cs.CL
1327,cs.CL
1328,cs.CL
1329,cs.CL
1330,cs.CL
1332,cs.CL
1333,cs.CL
1334,cs.CL
1335,cs.CL
1336,cs.CL
1337,cs.CL
1338,cs.CL
1339,cs.CL
1341,cs.CL
1344,cs.CL
1345,cs.CL
1346,cs.CL
1347,cs.CL
1348,cs.CL
1350,cs.CL
1351,cs.CL
1353,cs.CL
1354,cs.CL
1355,cs.CL
1356,cs.CL
1357,cs.CL
1358,cs.CL
1359,cs.CL
1360,cs.CL
1361,cs.CL
1362,cs.CL
1363,cs.CL
1364,cs.CL
1365,cs.CL
1366,cs.CL
1367,cs.CL
1369,cs.CL
1370,cs.CL
1371,cs.CL
1372,cs.CL
1374,cs.CL
1375,cs.CL
1376,cs.CL
1377,cs.CL
1378,cs.CL
1379,cs.CL
1380,cs.CL
1382,cs.CL
1383,cs.CL
1384,cs.CL
1386,cs.CL
1388,cs.CL
1389,cs.CL
1390,cs.CL
1391,cs.CL
1392,cs.CL
1394,cs.CL
1395,cs.CL
1396,cs.CL
1397,cs.CL
1398,cs.CL
1399,cs.CL
1402,cs.CL
1403,cs.CL
1404,cs.CL
1405,cs.CL
1406,cs.CL
1407,cs.CL
1408,cs.CL
1409,cs.CL
1410,cs.CL
1411,cs.CL
1412,cs.CL
1413,cs.CL
1414,cs.CL
1415,cs.CL
1416,cs.CL
1417,cs.CL
1418,cs.CL
1419,cs.CL
1420,cs.CL
1421,cs.CL
1422,cs.CL
1423,cs.CL
1424,cs.CL
1425,cs.CL
1427,cs.CL
1428,cs.CL
1429,cs.CL
1431,cs.CL
1432,cs.CL
1433,cs.CL
1434,cs.CL
1435,cs.CL
1436,cs.CL
1437,cs.CL
1438,cs.CL
1439,cs.CL
1440,cs.CL
1441,cs.CL
1442,cs.CL
1443,cs.CL
1444,cs.CL
1445,cs.CL
1446,cs.CL
1447,cs.CL
1448,cs.CL
1449,cs.CL
1450,cs.CL
1451,cs.CL
1452,cs.CL
1453,cs.CL
